Make,Model,Accident.Number,Event.Id,Aircraft.Category,Engine.Type,Number.of.Engines,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Event.Date,Year,Purpose.of.flight,Weather.Condition,Aircraft.damage,Broad.phase.of.flight,total_accidents,fatality_rate,Safety_Score
Haney John F B,Seastar Xp,ERA12LA131,20120102X93914,Airplane,Reciprocating,1.0,0.0,0.0,0.0,1.0,2012-01-01,2012,Personal,VMC,Substantial,,1,0.0,100.0
Continental Copters Inc.,47G2,CEN12LA120,20120103X02043,Helicopter,Reciprocating,1.0,0.0,0.0,2.0,0.0,2012-01-01,2012,Aerial Observation,VMC,Substantial,,1,0.0,100.0
Mcadam W E,Christen Eagle Ii,WPR12CA073,20111230X02532,Airplane,Reciprocating,1.0,0.0,0.0,0.0,1.0,2012-01-02,2012,Personal,VMC,Substantial,,1,0.0,100.0
Maule,M-5-180C,ERA12CA134,20120103X35104,Airplane,Reciprocating,1.0,0.0,0.0,0.0,3.0,2012-01-02,2012,Personal,VMC,Substantial,,4,0.0,100.0
Piper,Pa-34-200T,ERA12LA132,20120103X94513,Airplane,Reciprocating,2.0,0.0,0.0,0.0,1.0,2012-01-02,2012,Personal,VMC,Substantial,,15,0.0,100.0
Piper,Pa-18-135,CEN12CA132,20120111X92548,Airplane,Reciprocating,1.0,0.0,0.0,0.0,2.0,2012-01-02,2012,Instructional,VMC,Substantial,,11,0.0,100.0
Butler John R,Sx 300,CEN12CA121,20120104X41711,Airplane,Reciprocating,1.0,0.0,0.0,0.0,1.0,2012-01-03,2012,Personal,VMC,Substantial,,1,0.0,100.0
Piper,Pa-28-160,CEN12LA124,20120105X35308,Airplane,Reciprocating,1.0,0.0,0.0,0.0,2.0,2012-01-03,2012,Instructional,VMC,Substantial,,4,0.0,100.0
Cessna,172P,CEN12TA122,20120104X92439,Airplane,Reciprocating,1.0,0.0,0.0,0.0,1.0,2012-01-04,2012,Public Aircraft - Federal,VMC,Substantial,,57,0.0,100.0
Piper,Aerostar 601P,WPR12LA075,20120106X15754,Airplane,Reciprocating,2.0,0.0,0.0,0.0,1.0,2012-01-05,2012,Personal,VMC,Substantial,,1,0.0,100.0
Sanderson,Pitts Special Sps-1,CEN12LA128,20120110X02454,Airplane,Reciprocating,1.0,0.0,0.0,0.0,1.0,2012-01-05,2012,Personal,VMC,Substantial,,1,0.0,100.0
Czech Sportplanes Sro,Dynamic Wt9,WPR12LA074,20120106X12700,Airplane,Reciprocating,1.0,0.0,0.0,0.0,1.0,2012-01-06,2012,Personal,VMC,Substantial,,1,0.0,100.0
Robinson Helicopter,R22 Beta,ERA12CA137,20120107X81643,Helicopter,Reciprocating,1.0,0.0,0.0,0.0,2.0,2012-01-06,2012,Instructional,VMC,Substantial,,61,0.0,100.0
Piper,Pa28,WPR12LA076,20120108X24231,Airplane,Reciprocating,1.0,0.0,0.0,0.0,1.0,2012-01-06,2012,Instructional,VMC,Substantial,,256,0.0,100.0
Aviat,A1,CEN12LA126,20120109X03605,Airplane,Reciprocating,1.0,0.0,0.0,0.0,1.0,2012-01-06,2012,Personal,VMC,Substantial,,15,0.0,100.0
Aviat Aircraft Inc,A-1C-180,CEN12LA129,20120110X03902,Airplane,Reciprocating,1.0,0.0,2.0,0.0,0.0,2012-01-06,2012,Personal,VMC,Substantial,,11,0.0,100.0
Robinson,R22,CEN12WA144,20120124X23844,Helicopter,,1.0,0.0,0.0,0.0,1.0,2012-01-06,2012,,,Substantial,,74,0.0,100.0
Luscombe,8A,ERA12CA140,20120108X85358,Airplane,Reciprocating,1.0,0.0,0.0,0.0,1.0,2012-01-07,2012,Personal,VMC,Substantial,,28,0.0,100.0
Cirrus Design Corp,Sr22,ERA12WA142,20120110X04011,Airplane,Reciprocating,1.0,0.0,0.0,0.0,2.0,2012-01-07,2012,Personal,VMC,Substantial,,102,0.0,100.0
Boeing,737-800,DCA12WA103,20120705X45514,Airplane,,,0.0,0.0,0.0,0.0,2012-01-07,2012,,,Minor,,20,0.0,100.0
Bowers Fly Baby,1-A,ERA12LA141,20120109X64751,Airplane,Reciprocating,1.0,1.0,0.0,0.0,0.0,2012-01-08,2012,Personal,VMC,Destroyed,,2,0.5,50.0
Beech,58P,WPR12LA097,20120206X15258,Airplane,Reciprocating,2.0,0.0,0.0,0.0,5.0,2012-01-08,2012,Personal,VMC,Substantial,,6,0.0,100.0
Cessna,152,CEN12WA504,20120802X23757,Airplane,,1.0,2.0,0.0,0.0,0.0,2012-01-08,2012,Personal,,Substantial,,166,0.012048192771084338,98.79518072289156
Boeing,737,DCA12WA025,20120117X54454,Airplane,,,0.0,0.0,0.0,118.0,2012-01-09,2012,,,Minor,,395,0.0,100.0
Cessna,150G,ERA12FA143,20120111X05220,Airplane,Reciprocating,1.0,0.0,0.0,1.0,1.0,2012-01-11,2012,Instructional,VMC,Substantial,,18,0.0,100.0
Infinity Power Parachutes Llc,Classic 2002,CEN12CA131,20120111X72151,Powered Parachute,Reciprocating,1.0,0.0,1.0,1.0,0.0,2012-01-11,2012,Personal,VMC,Substantial,,1,0.0,100.0
Cessna,150J,CEN12LA133,20120112X50946,Airplane,Reciprocating,1.0,0.0,0.0,1.0,0.0,2012-01-12,2012,Personal,VMC,Substantial,,15,0.0,100.0
Cessna,150M,CEN12LA135,20120117X32259,Airplane,Reciprocating,1.0,0.0,0.0,0.0,1.0,2012-01-13,2012,Personal,VMC,Substantial,,30,0.0,100.0
Mooney Aircraft Corp.,M20K,CEN12CA136,20120117X64102,Airplane,Reciprocating,1.0,0.0,0.0,0.0,1.0,2012-01-13,2012,Instructional,VMC,Substantial,,16,0.0,100.0
Evektor-Aerotechnik As,Sportstar,WPR12CA077,20120115X44237,Airplane,Reciprocating,1.0,0.0,0.0,0.0,1.0,2012-01-14,2012,Personal,VMC,Substantial,,14,0.0,100.0
Aero Commander,500-B,CEN12LA134,20120117X95955,Airplane,Reciprocating,2.0,0.0,1.0,0.0,0.0,2012-01-14,2012,Positioning,VMC,Substantial,,1,0.0,100.0
Boeing,777,DCA12WA027,20120123X64443,Airplane,,,0.0,0.0,0.0,191.0,2012-01-14,2012,,,,,65,0.0,100.0
Beech,A36,ERA12WA159,20120127X82635,Airplane,,1.0,3.0,0.0,0.0,0.0,2012-01-14,2012,Personal,,Destroyed,,101,0.0297029702970297,97.02970297029702
Piper,Pa-24-180,ERA12LA145,20120115X45209,Airplane,Reciprocating,1.0,2.0,0.0,0.0,0.0,2012-01-15,2012,Instructional,IMC,Substantial,,2,1.0,0.0
Pzl-Swidnik,Sw-4,ANC12LA017,20120119X11221,Helicopter,Turbo Shaft,1.0,0.0,0.0,0.0,3.0,2012-01-15,2012,Flight Test,VMC,Substantial,,1,0.0,100.0
Piper,Pa-32Rt-300,CEN12CA140,20120123X44151,Airplane,Reciprocating,1.0,0.0,0.0,0.0,4.0,2012-01-15,2012,Personal,VMC,Substantial,,4,0.0,100.0
Aerostar Aircraft Corporation,Pa-60-601P,ERA12FA146,20120116X53349,Airplane,Reciprocating,2.0,1.0,0.0,0.0,0.0,2012-01-16,2012,Personal,VMC,Substantial,,1,1.0,0.0
Bell,214,DCA12FA024,20120116X72519,Helicopter,Turbo Shaft,2.0,3.0,0.0,0.0,0.0,2012-01-16,2012,,VMC,Destroyed,,4,0.75,25.0
Boeing,Dhc-8-102,ERA12LA147,20120118X91324,Airplane,Turbo Prop,2.0,0.0,0.0,0.0,36.0,2012-01-16,2012,,VMC,Substantial,,1,0.0,100.0
Boeing,747,DCA12WA029,20120125X93003,Airplane,,,0.0,0.0,0.0,0.0,2012-01-17,2012,,,,,43,0.0,100.0
Piper,Pa-31-235,CEN12WA138,20120119X53921,Airplane,Reciprocating,1.0,0.0,0.0,0.0,0.0,2012-01-18,2012,Personal,,Substantial,,1,0.0,100.0
Bell,206,ERA12WA155,20120124X90813,Helicopter,Turbo Shaft,1.0,5.0,0.0,0.0,0.0,2012-01-18,2012,Aerial Observation,VMC,Destroyed,,118,0.0423728813559322,95.76271186440678
Robinson,R44 Ii,CEN12FA139,20120119X92431,Helicopter,Reciprocating,1.0,2.0,0.0,0.0,0.0,2012-01-19,2012,Personal,VMC,Substantial,,9,0.2222222222222222,77.77777777777779
Cessna,172I,ERA12LA148,20120119X93241,Airplane,Reciprocating,1.0,0.0,0.0,0.0,1.0,2012-01-19,2012,Personal,VMC,Substantial,,7,0.0,100.0
M-Squared Aircraft,Breese 2,ERA12LA150,20120123X91012,Airplane,Reciprocating,1.0,0.0,0.0,0.0,1.0,2012-01-19,2012,Instructional,VMC,Substantial,,1,0.0,100.0
Aero Vodochody,L39C,ERA12FA149,20120120X01941,Airplane,Turbo Jet,1.0,1.0,0.0,0.0,0.0,2012-01-21,2012,Personal,IMC,Substantial,,4,0.25,75.0
"Arrow Falcon Exporters, Inc.",Oh-58A,WPR12LA096,20120209X13451,Helicopter,Turbo Shaft,1.0,0.0,0.0,0.0,1.0,2012-01-21,2012,Aerial Application,VMC,Substantial,,1,0.0,100.0
Robinson Helicopter Company,R44,CEN13WA102,20121214X95319,,,,0.0,0.0,0.0,3.0,2012-01-21,2012,,VMC,,,14,0.0,100.0
Robinson Helicopter Company,R44 Ii,ANC12CA018,20120124X00309,Helicopter,Reciprocating,1.0,0.0,0.0,0.0,1.0,2012-01-21,2012,External Load,VMC,Substantial,,117,0.0,100.0
Cessna,172M,WPR12CA079,20120123X05459,Airplane,Reciprocating,1.0,0.0,0.0,0.0,1.0,2012-01-22,2012,Instructional,VMC,Substantial,,90,0.0,100.0
Bell,206B,CEN12LA141,20120123X64755,Helicopter,Turbo Shaft,1.0,0.0,0.0,0.0,4.0,2012-01-22,2012,,VMC,Substantial,,73,0.0,100.0
Cessna,177A,CEN12FA143,20120124X10943,Airplane,Reciprocating,1.0,2.0,0.0,0.0,0.0,2012-01-22,2012,Personal,VMC,Substantial,,3,0.6666666666666666,33.333333333333336
Cessna,150G,ERA12FA151,20120123X91729,Airplane,Reciprocating,1.0,1.0,0.0,0.0,0.0,2012-01-23,2012,Personal,IMC,Substantial,,18,0.05555555555555555,94.44444444444444
Cessna,207A,ANC12CA019,20120126X25043,Airplane,Reciprocating,1.0,0.0,0.0,0.0,2.0,2012-01-23,2012,,VMC,Substantial,,9,0.0,100.0
Beech,58,ERA12CA156,20120125X52113,Airplane,Reciprocating,2.0,0.0,0.0,0.0,3.0,2012-01-24,2012,Executive/corporate,VMC,Substantial,,50,0.0,100.0
Mas Events,Nemesis,WPR12LA081,20120125X31012,Airplane,Reciprocating,,0.0,1.0,0.0,0.0,2012-01-24,2012,Flight Test,VMC,Substantial,,1,0.0,100.0
Mcdonnell Douglas,Md80,DCA12WA028,20120125X92601,Airplane,,,0.0,0.0,0.0,0.0,2012-01-24,2012,,,Substantial,,6,0.0,100.0
Cessna,210E,ERA12LA157,20120126X92124,Airplane,Reciprocating,1.0,0.0,1.0,0.0,0.0,2012-01-25,2012,Personal,VMC,Substantial,,5,0.0,100.0
Embraer,Emb-145Lr,OPS12IA303,20120207X14951,Airplane,Turbo Fan,2.0,0.0,0.0,0.0,53.0,2012-01-25,2012,,,,,4,0.0,100.0
Cessna,172P,WPR12CA082,20120123X05407,Airplane,Reciprocating,1.0,0.0,0.0,0.0,1.0,2012-01-26,2012,Instructional,VMC,Substantial,,57,0.0,100.0
Helio,H-295,ANC12CA020,20120127X41441,Airplane,Reciprocating,1.0,0.0,0.0,0.0,1.0,2012-01-26,2012,Positioning,VMC,Substantial,,2,0.0,100.0
Piper,Pa-28-181,WPR12CA083,20120127X53748,Airplane,Reciprocating,1.0,0.0,0.0,0.0,2.0,2012-01-26,2012,Personal,VMC,Substantial,,26,0.0,100.0
Eclipse Aviation Corp,Ea500,CEN12WA163,20120221X20208,Airplane,Turbo Fan,2.0,0.0,0.0,0.0,3.0,2012-01-27,2012,Unknown,,,,3,0.0,100.0
Cessna,340A,ERA12FA161,20120127X31738,Airplane,Reciprocating,2.0,1.0,0.0,1.0,0.0,2012-01-27,2012,Personal,VMC,Substantial,,15,0.06666666666666667,93.33333333333333
Piper,Pa-28-140,WPR12LA087,20120201X13617,Airplane,Reciprocating,1.0,0.0,0.0,0.0,2.0,2012-01-27,2012,Instructional,VMC,Substantial,,79,0.0,100.0
Cessna,172L,ERA12CA162,20120128X41941,Airplane,Reciprocating,1.0,0.0,0.0,0.0,2.0,2012-01-28,2012,Personal,VMC,Substantial,,13,0.0,100.0
Cessna,T210M,ERA12LA164,20120129X84717,Airplane,Reciprocating,1.0,0.0,1.0,0.0,0.0,2012-01-28,2012,Personal,VMC,Substantial,,16,0.0,100.0
Schweizer,Sgs 2-33A,WPR12CA084,20120130X32358,Glider,,0.0,0.0,2.0,0.0,0.0,2012-01-28,2012,Instructional,VMC,Substantial,,14,0.0,100.0
Piper,Pa-31-310,ERA12LA165,20120130X60836,Airplane,Reciprocating,2.0,0.0,0.0,0.0,1.0,2012-01-28,2012,Personal,VMC,Substantial,,1,0.0,100.0
Piper Aircraft Corporation,Piper J3C-65,CEN12WA145,20120131X14458,Airplane,Reciprocating,1.0,1.0,0.0,0.0,1.0,2012-01-28,2012,Personal,,,,2,0.5,50.0
Cessna,172S,ERA12IA169,20120202X81145,Airplane,Reciprocating,1.0,0.0,0.0,0.0,1.0,2012-01-28,2012,Other Work Use,VMC,,,117,0.0,100.0
Aero Commander,100,CEN12LA192,20120320X94818,Airplane,Reciprocating,1.0,0.0,1.0,0.0,0.0,2012-01-28,2012,Personal,VMC,Substantial,,6,0.0,100.0
Piper,Pa-28-180,ERA12FA163,20120129X34027,Airplane,Reciprocating,1.0,1.0,0.0,0.0,0.0,2012-01-29,2012,Personal,VMC,Substantial,,37,0.02702702702702703,97.2972972972973
Remos Aircraft Gmbh,G-3/600,ERA12CA167,20120131X41208,Airplane,Reciprocating,1.0,0.0,0.0,0.0,1.0,2012-01-29,2012,Instructional,VMC,Substantial,,1,0.0,100.0
Piper,Pa-28R-200,WPR12LA085,20120130X33824,Airplane,Reciprocating,1.0,1.0,0.0,0.0,0.0,2012-01-30,2012,Personal,VMC,,,24,0.041666666666666664,95.83333333333334
Cessna,180,WPR12CA086,20120130X41812,Airplane,Reciprocating,1.0,0.0,0.0,0.0,1.0,2012-01-30,2012,Personal,VMC,Substantial,,135,0.0,100.0
Gulfstream,G150,ERA12IA166,20120131X75454,Airplane,Turbo Fan,2.0,0.0,0.0,0.0,2.0,2012-01-30,2012,Positioning,VMC,Minor,,1,0.0,100.0
Piper,Pa-22-135,CEN12LA146,20120131X20200,Airplane,Reciprocating,1.0,0.0,1.0,1.0,0.0,2012-01-31,2012,Personal,VMC,Substantial,,11,0.0,100.0
Boeing,747,DCA12WA032,20120203X34902,,,,0.0,0.0,0.0,2.0,2012-01-31,2012,,,Substantial,,43,0.0,100.0
Beech,99,ANC12CA021,20120202X55741,Airplane,Turbo Prop,2.0,0.0,0.0,0.0,7.0,2012-02-01,2012,,VMC,Substantial,,6,0.0,100.0
Cessna,172S,WPR12CA088,20120202X30140,Airplane,Reciprocating,1.0,0.0,0.0,0.0,3.0,2012-02-02,2012,Instructional,VMC,Substantial,,117,0.0,100.0
Bellanca,17-30,CEN12LA147,20120203X02350,Airplane,Reciprocating,1.0,0.0,0.0,0.0,2.0,2012-02-02,2012,Instructional,VMC,Substantial,,2,0.0,100.0
Antonov,An124,DCA12CA033,20120203X61713,Airplane,Turbo Fan,4.0,0.0,0.0,2.0,4.0,2012-02-02,2012,,VMC,,,1,0.0,100.0
Embraer,Emb-500,ERA12WA183,20120217X91848,Airplane,Turbo Fan,2.0,0.0,0.0,0.0,3.0,2012-02-03,2012,Executive/corporate,VMC,Minor,,4,0.0,100.0
Garza,Lancair Iv-Tp,WPR12FA089,20120203X23028,Airplane,Turbo Prop,1.0,1.0,0.0,0.0,0.0,2012-02-03,2012,Personal,VMC,Destroyed,,1,1.0,0.0
Cessna,172E,WPR12LA090,20120203X74411,Airplane,Reciprocating,1.0,0.0,1.0,1.0,0.0,2012-02-03,2012,Instructional,VMC,Substantial,,7,0.0,100.0
Gates Lear Jet,35,CEN12FA151,20120208X05132,Airplane,Turbo Fan,2.0,0.0,0.0,0.0,10.0,2012-02-03,2012,Personal,IMC,Substantial,,2,0.0,100.0
Cessna,T206H,WPR12FA091,20120204X03117,Airplane,Reciprocating,1.0,2.0,0.0,2.0,0.0,2012-02-04,2012,Personal,IMC,Substantial,,17,0.11764705882352941,88.23529411764706
